close,lag_1,lag_2,lag_3,lag_4,lag_5
228.8800048828125,234.82000732421875,234.39999389648438,230.5399932861328,227.57000732421875,232.97999572753906
224.17999267578125,228.8800048828125,234.82000732421875,234.39999389648438,230.5399932861328,227.57000732421875
224.30999755859375,224.17999267578125,228.8800048828125,234.82000732421875,234.39999389648438,230.5399932861328
223.9600067138672,224.30999755859375,224.17999267578125,228.8800048828125,234.82000732421875,234.39999389648438
225.00999450683594,223.9600067138672,224.30999755859375,224.17999267578125,228.8800048828125,234.82000732421875
218.5399932861328,225.00999450683594,223.9600067138672,224.30999755859375,224.17999267578125,228.8800048828125
217.49000549316406,218.5399932861328,225.00999450683594,223.9600067138672,224.30999755859375,224.17999267578125
217.9600067138672,217.49000549316406,218.5399932861328,225.00999450683594,223.9600067138672,224.30999755859375
218.24000549316406,217.9600067138672,217.49000549316406,218.5399932861328,225.00999450683594,223.9600067138672
218.8000030517578,218.24000549316406,217.9600067138672,217.49000549316406,218.5399932861328,225.00999450683594
222.0800018310547,218.8000030517578,218.24000549316406,217.9600067138672,217.49000549316406,218.5399932861328
218.36000061035156,222.0800018310547,218.8000030517578,218.24000549316406,217.9600067138672,217.49000549316406
219.86000061035156,218.36000061035156,222.0800018310547,218.8000030517578,218.24000549316406,217.9600067138672
209.27000427246094,219.86000061035156,218.36000061035156,222.0800018310547,218.8000030517578,218.24000549316406
207.22999572753906,209.27000427246094,219.86000061035156,218.36000061035156,222.0800018310547,218.8000030517578
209.82000732421875,207.22999572753906,209.27000427246094,219.86000061035156,218.36000061035156,222.0800018310547
213.30999755859375,209.82000732421875,207.22999572753906,209.27000427246094,219.86000061035156,218.36000061035156
216.24000549316406,213.30999755859375,209.82000732421875,207.22999572753906,209.27000427246094,219.86000061035156
